City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
666,Sijunjung,ID,85.39,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
668,Chernoyerkovskaya,RU,77.65,scattered clouds,45.4331,37.7686,Chernoyerkovskaya
671,Etchoropo,MX,87.42,broken clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
672,Almunecar,ES,85.44,scattered clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
673,Soe,ID,76.5,few clouds,-9.8607,124.284,Dena Hotel
677,Pyay,MM,87.1,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
680,Malpe,IN,83.5,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
690,Cozumel,MX,81.55,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
692,Oriximina,BR,75.88,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
695,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
696,Huntington,US,82.87,clear sky,38.4193,-82.4452,Ramada Limited Huntington
700,Chabahar,IR,84.06,overcast clouds,25.2919,60.643,هتل گدروشیا
702,Cotonou,BJ,75.92,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
704,Sorong,ID,82.18,broken clouds,-0.8833,131.25,Waigo Splash Hotel
706,Cumana,VE,76.78,broken clouds,10.4635,-64.1775,Posada Acuarela Los Roques
707,Gizo,SB,83.95,scattered clouds,-8.103,156.8419,Imagination Island
