City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Iroquois Falls,CA,2022-07-25 04:48:32,48.7669,-80.6831,57.79,98,70,7.54,moderate rain
52,Huarmey,PE,2022-07-25 04:48:32,-10.0681,-78.1522,62.37,88,93,9.95,overcast clouds
53,Touros,BR,2022-07-25 04:48:26,-5.1989,-35.4608,72.19,77,55,16.55,broken clouds
54,Mahebourg,MU,2022-07-25 04:44:26,-20.4081,57.7,71.26,94,40,4.61,scattered clouds
55,Clyde River,CA,2022-07-25 04:44:09,70.4692,-68.5914,43.03,93,100,3.44,overcast clouds
56,Puerto Leguizamo,CO,2022-07-25 04:48:33,-0.1934,-74.7819,69.8,96,78,1.79,broken clouds
57,Oistins,BB,2022-07-25 04:48:34,13.0667,-59.5333,80.69,83,75,14.97,broken clouds
58,Zhangye,CN,2022-07-25 04:44:18,38.9342,100.4517,92.77,15,0,1.52,clear sky
59,Cabo San Lucas,MX,2022-07-25 04:46:04,22.8909,-109.9124,83.61,78,35,5.01,scattered clouds
60,Marinette,US,2022-07-25 04:45:47,45.1,-87.6307,64.85,77,0,0.0,clear sky
61,Lasa,IT,2022-07-25 04:48:35,46.6166,10.7002,67.08,89,0,1.97,clear sky
62,Te Anau,NZ,2022-07-25 04:48:35,-45.4167,167.7167,41.97,83,99,4.16,overcast clouds
63,Vaini,TO,2022-07-25 04:45:46,-21.2,-175.2,75.36,88,20,10.36,few clouds
64,Ilulissat,GL,2022-07-25 04:44:13,69.2167,-51.1,36.57,98,97,2.39,overcast clouds
65,Saint-Philippe,RE,2022-07-25 04:44:28,-21.3585,55.7679,71.19,71,17,8.05,few clouds
66,Ushuaia,AR,2022-07-25 04:40:21,-54.8,-68.3,35.26,69,0,1.14,clear sky
67,Busselton,AU,2022-07-25 04:44:28,-33.65,115.3333,62.46,67,67,20.62,broken clouds
68,Tasiilaq,GL,2022-07-25 04:48:37,65.6145,-37.6368,41.16,87,92,2.77,overcast clouds
69,Guerrero Negro,MX,2022-07-25 04:48:37,27.9769,-114.0611,68.41,82,14,8.57,few clouds
70,Cidreira,BR,2022-07-25 04:46:04,-30.1811,-50.2056,63.54,88,100,3.2,light rain
71,Henties Bay,NA,2022-07-25 04:46:07,-22.116,14.2845,54.01,86,0,3.31,clear sky
72,Port Alfred,ZA,2022-07-25 04:44:11,-33.5906,26.891,56.64,61,68,2.98,broken clouds
73,Flin Flon,CA,2022-07-25 04:45:52,54.7682,-101.865,61.79,67,100,5.97,overcast clouds
